CPD ID,Plate ID,Well
CPD_331330,APL001595,D22
CPD_328810,APL001588,O07
CPD_328946,APL001588,D03
CPD_331334,APL001595,L22
CPD_331326,APL001595,L20
CPD_329086,APL001588,L18
CPD_328814,APL001588,G09
CPD_329103,APL001588,N22
CPD_345552,APL001640,J05
CPD_328807,APL001588,I07
CPD_328827,APL001588,A13
CPD_328819,APL001588,A11
CPD_329097,APL001588,B22
CPD_346819,APL001644,D03
CPD_244644,APL003270,H21
CPD_329182,APL001589,K21
CPD_244743,APL003271,M05
CPD_353005,APL001663,B11
CPD_331113,APL001595,K06
CPD_328836,APL001588,C15
CPD_354682,APL001668,H12
CPD_358946,APL001682,M04
CPD_362342,APL001694,L03
CPD_335527,APL001609,A05
CPD_244115,APL003269,E09
CPD_355876,APL001672,D11
CPD_326580,APL001581,M09
CPD_339602,APL001621,F12
CPD_338567,APL001618,B07
CPD_331034,APL001595,M05
CPD_353379,APL001664,N04
CPD_318839,APL001556,N21
CPD_165234,APL001677,H18
CPD_357691,APL001678,G10
CPD_345643,APL001640,P08
CPD_327960,APL001585,K16
CPD_323508,APL001571,C22
CPD_327313,APL001583,G14
CPD_348143,APL001648,A14
CPD_321441,APL001564,H20
CPD_327968,APL001585,K18
CPD_360690,APL001689,C12
CPD_334557,APL001605,D22
CPD_350051,APL001654,K10
CPD_329323,APL001589,H17
CPD_354166,APL001667,I21
CPD_363381,APL001683,M16
CPD_333801,APL001603,L11
CPD_320785,APL001562,B14
CPD_363957,APL001698,C09
CPD_336617,APL001612,M18
CPD_361481,APL001691,B10
CPD_324110,APL001573,M12
CPD_246788,APL003277,D03
CPD_358957,APL001682,C08
CPD_322810,APL001569,E04
CPD_317650,APL001553,K03
CPD_322862,APL001569,O16
CPD_324159,APL001573,P03
CPD_319563,APL001559,M03
CPD_318651,APL001556,C15
CPD_321193,APL001564,E17
CPD_356563,APL001674,H06
CPD_318954,APL001557,C11
CPD_363958,APL001698,E09
CPD_320382,APL001561,J11
CPD_355957,APL001672,L12
CPD_350745,APL001656,J03
CPD_323998,APL001573,M03
CPD_244534,APL003270,K14
CPD_333770,APL001603,N03
CPD_330256,APL001592,H11
CPD_349328,APL001652,E09
CPD_364556,APL001699,F22
CPD_243656,APL003267,N13
CPD_245077,APL003272,M09
CPD_362856,APL001696,O11
CPD_245626,APL003273,J08
CPD_245206,APL003272,O22
CPD_246324,APL003276,K05
CPD_363939,APL001698,M03
CPD_246318,APL003276,O03
CPD_361838,APL001692,L18
CPD_328933,APL001588,I20
CPD_317970,APL001554,M03
CPD_331488,APL001596,O20
CPD_329528,APL001590,C10
CPD_326397,APL001580,N03
