Plate ID	Well	Cpd ID
PLA_001	A2	CPD_001
PLA_001	A3	CPD_002
PLA_001	A4	CPD_003
PLA_001	A5	CPD_004
PLA_001	A6	CPD_005
PLA_001	A7	CPD_006
PLA_001	A8	CPD_007
PLA_001	A9	CPD_008
PLA_001	A10	CPD_009
PLA_001	A11	CPD_010
PLA_001	B2	CPD_011
PLA_001	B3	CPD_012
PLA_001	B4	CPD_013
PLA_001	B5	CPD_014
PLA_001	B6	CPD_015
PLA_001	B7	CPD_016
PLA_001	B8	CPD_017
PLA_001	B9	CPD_018
PLA_001	B10	CPD_019
PLA_001	B11	CPD_020
PLA_001	C2	CPD_021
PLA_001	C3	CPD_022
PLA_001	C4	CPD_023
PLA_001	C5	CPD_024
PLA_001	C6	CPD_025
PLA_001	C7	CPD_026
PLA_001	C8	CPD_027
PLA_001	C9	CPD_028
PLA_001	C10	CPD_029
PLA_001	C11	CPD_030
PLA_001	D2	CPD_031
PLA_001	D3	CPD_032
PLA_001	D4	CPD_033
PLA_001	D5	CPD_034
PLA_001	D6	CPD_035
PLA_001	D7	CPD_036
PLA_001	D8	CPD_037
PLA_001	D9	CPD_038
PLA_001	D10	CPD_039
PLA_001	D11	CPD_040
PLA_001	E2	CPD_041
PLA_001	E3	CPD_042
PLA_001	E4	CPD_043
PLA_001	E5	CPD_044
PLA_001	E6	CPD_045
PLA_001	E7	CPD_046
PLA_001	E8	CPD_047
PLA_001	E9	CPD_048
PLA_001	E10	CPD_049
PLA_001	E11	CPD_050
PLA_001	F2	CPD_051
PLA_001	F3	CPD_052
PLA_001	F4	CPD_053
PLA_001	F5	CPD_054
PLA_001	F6	CPD_055
PLA_001	F7	CPD_056
PLA_001	F8	CPD_057
PLA_001	F9	CPD_058
PLA_001	F10	CPD_059
PLA_001	F11	CPD_060
PLA_001	G2	CPD_061
PLA_001	G3	CPD_062
PLA_001	G4	CPD_063
PLA_001	G5	CPD_064
PLA_001	G6	CPD_065
PLA_001	G7	CPD_066
PLA_001	G8	CPD_067
PLA_001	G9	CPD_068
PLA_001	G10	CPD_069
PLA_001	G11	CPD_070
PLA_001	H2	CPD_071
PLA_001	H3	CPD_072
PLA_001	H4	CPD_073
PLA_001	H5	CPD_074
PLA_001	H6	CPD_075
PLA_001	H7	CPD_076
PLA_001	H8	CPD_077
PLA_001	H9	CPD_078
PLA_001	H10	CPD_079
PLA_001	H11	CPD_080
PLA_002	A2	CPD_081
PLA_002	A3	CPD_082
PLA_002	A4	CPD_083
PLA_002	A5	CPD_084
PLA_002	A6	CPD_085
PLA_002	A7	CPD_086
PLA_002	A8	CPD_087
PLA_002	A9	CPD_088
PLA_002	A10	CPD_089
PLA_002	A11	CPD_090
PLA_002	B2	CPD_091
PLA_002	B3	CPD_092
PLA_002	B4	CPD_093
PLA_002	B5	CPD_094
PLA_002	B6	CPD_095
PLA_002	B7	CPD_096
PLA_002	B8	CPD_097
PLA_002	B9	CPD_098
PLA_002	B10	CPD_099
PLA_002	B11	CPD_100
PLA_002	C2	CPD_101
PLA_002	C3	CPD_102
PLA_002	C4	CPD_103
PLA_002	C5	CPD_104
PLA_002	C6	CPD_105
PLA_002	C7	CPD_106
PLA_002	C8	CPD_107
PLA_002	C9	CPD_108
PLA_002	C10	CPD_109
PLA_002	C11	CPD_110
PLA_002	D2	CPD_111
PLA_002	D3	CPD_112
PLA_002	D4	CPD_113
PLA_002	D5	CPD_114
PLA_002	D6	CPD_115
PLA_002	D7	CPD_116
PLA_002	D8	CPD_117
PLA_002	D9	CPD_118
PLA_002	D10	CPD_119
PLA_002	D11	CPD_120
PLA_002	E2	CPD_121
PLA_002	E3	CPD_122
PLA_002	E4	CPD_123
PLA_002	E5	CPD_124
PLA_002	E6	CPD_125
PLA_002	E7	CPD_126
PLA_002	E8	CPD_127
PLA_002	E9	CPD_128
PLA_002	E10	CPD_129
PLA_002	E11	CPD_130
PLA_002	F2	CPD_131
PLA_002	F3	CPD_132
PLA_002	F4	CPD_133
PLA_002	F5	CPD_134
PLA_002	F6	CPD_135
PLA_002	F7	CPD_136
PLA_002	F8	CPD_137
PLA_002	F9	CPD_138
PLA_002	F10	CPD_139
PLA_002	F11	CPD_140
PLA_002	G2	CPD_141
PLA_002	G3	CPD_142
PLA_002	G4	CPD_143
PLA_002	G5	CPD_144
PLA_002	G6	CPD_145
PLA_002	G7	CPD_146
PLA_002	G8	CPD_147
PLA_002	G9	CPD_148
PLA_002	G10	CPD_149
PLA_002	G11	CPD_150
PLA_002	H2	CPD_151
PLA_002	H3	CPD_152
PLA_002	H4	CPD_153
PLA_002	H5	CPD_154
PLA_002	H6	CPD_155
PLA_002	H7	CPD_156
PLA_002	H8	CPD_157
PLA_002	H9	CPD_158
PLA_002	H10	CPD_159
PLA_002	H11	CPD_160
PLA_003	A2	CPD_161
PLA_003	A3	CPD_162
PLA_003	A4	CPD_163
PLA_003	A5	CPD_164
PLA_003	A6	CPD_165
PLA_003	A7	CPD_166
PLA_003	A8	CPD_167
PLA_003	A9	CPD_168
PLA_003	A10	CPD_169
PLA_003	A11	CPD_170
PLA_003	B2	CPD_171
PLA_003	B3	CPD_172
PLA_003	B4	CPD_173
PLA_003	B5	CPD_174
PLA_003	B6	CPD_175
PLA_003	B7	CPD_176
PLA_003	B8	CPD_177
PLA_003	B9	CPD_178
PLA_003	B10	CPD_179
PLA_003	B11	CPD_180
PLA_003	C2	CPD_181
PLA_003	C3	CPD_182
PLA_003	C4	CPD_183
PLA_003	C5	CPD_184
PLA_003	C6	CPD_185
PLA_003	C7	CPD_186
PLA_003	C8	CPD_187
PLA_003	C9	CPD_188
PLA_003	C10	CPD_189
PLA_003	C11	CPD_190
PLA_003	D2	CPD_191
PLA_003	D3	CPD_192
PLA_003	D4	CPD_193
PLA_003	D5	CPD_194
PLA_003	D6	CPD_195
PLA_003	D7	CPD_196
PLA_003	D8	CPD_197
PLA_003	D9	CPD_198
PLA_003	D10	CPD_199
PLA_003	D11	CPD_200
PLA_003	E2	CPD_201
PLA_003	E3	CPD_202
PLA_003	E4	CPD_203
PLA_003	E5	CPD_204
PLA_003	E6	CPD_205
PLA_003	E7	CPD_206
PLA_003	E8	CPD_207
PLA_003	E9	CPD_208
PLA_003	E10	CPD_209
PLA_003	E11	CPD_210
PLA_003	F2	CPD_211
PLA_003	F3	CPD_212
PLA_003	F4	CPD_213
PLA_003	F5	CPD_214
PLA_003	F6	CPD_215
PLA_003	F7	CPD_216
PLA_003	F8	CPD_217
PLA_003	F9	CPD_218
PLA_003	F10	CPD_219
PLA_003	F11	CPD_220
PLA_003	G2	CPD_221
PLA_003	G3	CPD_222
PLA_003	G4	CPD_223
PLA_003	G5	CPD_224
PLA_003	G6	CPD_225
PLA_003	G7	CPD_226
PLA_003	G8	CPD_227
PLA_003	G9	CPD_228
PLA_003	G10	CPD_229
PLA_003	G11	CPD_230
PLA_003	H2	CPD_231
PLA_003	H3	CPD_232
PLA_003	H4	CPD_233
PLA_003	H5	CPD_234
PLA_003	H6	CPD_235
PLA_003	H7	CPD_236
PLA_003	H8	CPD_237
PLA_003	H9	CPD_238
PLA_003	H10	CPD_239
PLA_003	H11	CPD_240
PLA_004	A2	CPD_241
PLA_004	A3	CPD_242
PLA_004	A4	CPD_243
PLA_004	A5	CPD_244
PLA_004	A6	CPD_245
PLA_004	A7	CPD_246
PLA_004	A8	CPD_247
PLA_004	A9	CPD_248
PLA_004	A10	CPD_249
PLA_004	A11	CPD_250
PLA_004	B2	CPD_251
PLA_004	B3	CPD_252
PLA_004	B4	CPD_253
PLA_004	B5	CPD_254
PLA_004	B6	CPD_255
PLA_004	B7	CPD_256
PLA_004	B8	CPD_257
PLA_004	B9	CPD_258
PLA_004	B10	CPD_259
PLA_004	B11	CPD_260
PLA_004	C2	CPD_261
PLA_004	C3	CPD_262
PLA_004	C4	CPD_263
