Plate ID	Well	RFU
PLA_001	A1	80704.45879
PLA_001	A2	83363.26632
PLA_001	A3	74824.1326
PLA_001	A4	12489.79569
PLA_001	A5	80954.26289
PLA_001	A6	85291.5751
PLA_001	A7	73453.07765
PLA_001	A8	83009.03997
PLA_001	A9	74539.57014
PLA_001	A10	80789.29854
PLA_001	A11	73302.96274
PLA_001	A12	11836.08265
PLA_001	B1	78588.76863
PLA_001	B2	78629.08357
PLA_001	B3	83485.24239
PLA_001	B4	79844.41709
PLA_001	B5	76040.38014
PLA_001	B6	74770.68122
PLA_001	B7	80574.82857
PLA_001	B8	77577.31606
PLA_001	B9	84337.25485
PLA_001	B10	78904.67749
PLA_001	B11	85714.84712
PLA_001	B12	13686.43365
PLA_001	C1	80284.33903
PLA_001	C2	74930.01407
PLA_001	C3	84035.73553
PLA_001	C4	73370.95316
PLA_001	C5	85676.76586
PLA_001	C6	75857.8089
PLA_001	C7	86034.82995
PLA_001	C8	80344.54358
PLA_001	C9	80559.63727
PLA_001	C10	82419.67279
PLA_001	C11	79110.86682
PLA_001	C12	13548.01918
PLA_001	D1	79375.03876
PLA_001	D2	73833.14599
PLA_001	D3	74271.34989
PLA_001	D4	75344.85743
PLA_001	D5	75751.59648
PLA_001	D6	83321.87921
PLA_001	D7	74180.22328
PLA_001	D8	79180.27996
PLA_001	D9	73775.12736
PLA_001	D10	10827.82128
PLA_001	D11	81418.93806
PLA_001	D12	11620.24533
PLA_001	E1	78716.43197
PLA_001	E2	73281.60536
PLA_001	E3	76007.65917
PLA_001	E4	85955.27134
PLA_001	E5	12592.46242
PLA_001	E6	80335.01202
PLA_001	E7	82003.4943
PLA_001	E8	78923.44413
PLA_001	E9	83756.93608
PLA_001	E10	85241.77046
PLA_001	E11	83253.8308
PLA_001	E12	12854.97684
PLA_001	F1	80252.73457
PLA_001	F2	80913.7644
PLA_001	F3	86379.10326
PLA_001	F4	76219.42895
PLA_001	F5	77744.75461
PLA_001	F6	85801.90235
PLA_001	F7	79890.35856
PLA_001	F8	74942.38982
PLA_001	F9	78580.33068
PLA_001	F10	80073.86396
PLA_001	F11	82233.58118
PLA_001	F12	10805.04193
PLA_001	G1	78598.58515
PLA_001	G2	82085.24311
PLA_001	G3	81625.63979
PLA_001	G4	85320.68289
PLA_001	G5	83834.93857
PLA_001	G6	79619.00793
PLA_001	G7	79389.25594
PLA_001	G8	80593.52862
PLA_001	G9	74903.89081
PLA_001	G10	80959.47592
PLA_001	G11	80319.80743
PLA_001	G12	11805.58657
PLA_001	H1	80517.03478
PLA_001	H2	76767.71078
PLA_001	H3	81410.01779
PLA_001	H4	84733.05856
PLA_001	H5	77367.51391
PLA_001	H6	77622.7285
PLA_001	H7	79519.83827
PLA_001	H8	73263.58878
PLA_001	H9	78673.08397
PLA_001	H10	77665.16661
PLA_001	H11	76754.71258
PLA_001	H12	13000.86626
PLA_002	A1	81577.82209
PLA_002	A2	86343.32577
PLA_002	A3	74206.92833
PLA_002	A4	85295.11933
PLA_002	A5	79268.28019
PLA_002	A6	83681.71404
PLA_002	A7	77329.12897
PLA_002	A8	73702.1026
PLA_002	A9	76662.59636
PLA_002	A10	85274.18643
PLA_002	A11	77466.25658
PLA_002	A12	11822.97782
PLA_002	B1	81631.33003
PLA_002	B2	79167.15338
PLA_002	B3	10944.07736
PLA_002	B4	84273.52002
PLA_002	B5	76628.47702
PLA_002	B6	86677.8556
PLA_002	B7	75700.02145
PLA_002	B8	80300.00903
PLA_002	B9	75618.63922
PLA_002	B10	85452.32517
PLA_002	B11	85725.55416
PLA_002	B12	10678.64046
PLA_002	C1	80881.25705
PLA_002	C2	74204.3776
PLA_002	C3	86453.74727
PLA_002	C4	76443.40442
PLA_002	C5	85874.63102
PLA_002	C6	80375.09505
PLA_002	C7	84632.98622
PLA_002	C8	82468.55615
PLA_002	C9	83996.72136
PLA_002	C10	78650.63044
PLA_002	C11	74215.95907
PLA_002	C12	12601.4907
PLA_002	D1	79848.34559
PLA_002	D2	76540.75143
PLA_002	D3	81311.11932
PLA_002	D4	79021.63288
PLA_002	D5	12412.41075
PLA_002	D6	83175.82568
PLA_002	D7	85430.77356
PLA_002	D8	86321.6289
PLA_002	D9	78774.1385
PLA_002	D10	73484.07686
PLA_002	D11	81656.46186
PLA_002	D12	12645.74386
PLA_002	E1	81060.06878
PLA_002	E2	80233.41934
PLA_002	E3	73502.9001
PLA_002	E4	86400.60008
PLA_002	E5	84024.92498
PLA_002	E6	74013.11771
PLA_002	E7	79743.34122
PLA_002	E8	76257.5327
PLA_002	E9	73378.81917
PLA_002	E10	84181.2361
PLA_002	E11	74174.70254
PLA_002	E12	10502.59554
PLA_002	F1	79254.15721
PLA_002	F2	78933.56498
PLA_002	F3	79173.45468
PLA_002	F4	78620.19719
PLA_002	F5	73597.9375
PLA_002	F6	82059.89227
PLA_002	F7	82338.53764
PLA_002	F8	86354.33912
PLA_002	F9	13152.92847
PLA_002	F10	80567.14715
PLA_002	F11	86401.80094
PLA_002	F12	13310.97081
PLA_002	G1	81115.08616
PLA_002	G2	74743.54633
PLA_002	G3	84146.6239
PLA_002	G4	83156.04905
PLA_002	G5	77192.99155
PLA_002	G6	84062.23911
PLA_002	G7	78271.54587
PLA_002	G8	86049.69421
PLA_002	G9	77285.57356
PLA_002	G10	73972.00966
PLA_002	G11	85592.01507
PLA_002	G12	13427.02104
PLA_002	H1	79947.44882
PLA_002	H2	76981.38523
PLA_002	H3	73367.29881
PLA_002	H4	76662.71388
PLA_002	H5	85526.26325
PLA_002	H6	81161.62856
PLA_002	H7	79173.68051
PLA_002	H8	76797.55321
PLA_002	H9	86451.22883
PLA_002	H10	82554.14649
PLA_002	H11	73705.59154
PLA_002	H12	10382.22279
PLA_003	A1	79501.32803
PLA_003	A2	78434.17121
PLA_003	A3	81380.70006
PLA_003	A4	77942.66715
PLA_003	A5	75117.85497
